threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,utility
0.222,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
0.224,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
0.226,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
0.228,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
0.23,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
0.232,41,40,7,136,0.5061728395061729,0.8541666666666666,0.6356589147286822,0.7901785714285714,0.8893229166666666,1850.0
0.234,41,40,7,136,0.5061728395061729,0.8541666666666666,0.6356589147286822,0.7901785714285714,0.8893229166666666,1850.0
0.23600000000000002,41,40,7,136,0.5061728395061729,0.8541666666666666,0.6356589147286822,0.7901785714285714,0.8893229166666666,1850.0
0.23800000000000002,41,40,7,136,0.5061728395061729,0.8541666666666666,0.6356589147286822,0.7901785714285714,0.8893229166666666,1850.0
0.24,41,40,7,136,0.5061728395061729,0.8541666666666666,0.6356589147286822,0.7901785714285714,0.8893229166666666,1850.0
0.242,40,40,8,136,0.5,0.8333333333333334,0.625,0.7857142857142857,0.8893229166666666,1800.0
0.244,40,40,8,136,0.5,0.8333333333333334,0.625,0.7857142857142857,0.8893229166666666,1800.0
0.246,40,40,8,136,0.5,0.8333333333333334,0.625,0.7857142857142857,0.8893229166666666,1800.0
0.248,40,40,8,136,0.5,0.8333333333333334,0.625,0.7857142857142857,0.8893229166666666,1800.0
0.25,40,40,8,136,0.5,0.8333333333333334,0.625,0.7857142857142857,0.8893229166666666,1800.0
0.252,40,40,8,136,0.5,0.8333333333333334,0.625,0.7857142857142857,0.8893229166666666,1800.0
0.254,40,40,8,136,0.5,0.8333333333333334,0.625,0.7857142857142857,0.8893229166666666,1800.0
0.256,40,39,8,137,0.5063291139240507,0.8333333333333334,0.6299212598425197,0.7901785714285714,0.8893229166666666,1805.0
0.258,40,39,8,137,0.5063291139240507,0.8333333333333334,0.6299212598425197,0.7901785714285714,0.8893229166666666,1805.0
0.26,40,39,8,137,0.5063291139240507,0.8333333333333334,0.6299212598425197,0.7901785714285714,0.8893229166666666,1805.0
0.262,40,38,8,138,0.5128205128205128,0.8333333333333334,0.6349206349206349,0.7946428571428571,0.8893229166666666,1810.0
0.264,40,38,8,138,0.5128205128205128,0.8333333333333334,0.6349206349206349,0.7946428571428571,0.8893229166666666,1810.0
0.266,40,38,8,138,0.5128205128205128,0.8333333333333334,0.6349206349206349,0.7946428571428571,0.8893229166666666,1810.0
0.268,38,38,10,138,0.5,0.7916666666666666,0.6129032258064516,0.7857142857142857,0.8893229166666666,1710.0
0.27,38,38,10,138,0.5,0.7916666666666666,0.6129032258064516,0.7857142857142857,0.8893229166666666,1710.0
0.272,37,38,11,138,0.49333333333333335,0.7708333333333334,0.6016260162601627,0.78125,0.8893229166666666,1660.0
0.274,37,38,11,138,0.49333333333333335,0.7708333333333334,0.6016260162601627,0.78125,0.8893229166666666,1660.0
0.276,37,38,11,138,0.49333333333333335,0.7708333333333334,0.6016260162601627,0.78125,0.8893229166666666,1660.0
0.278,37,38,11,138,0.49333333333333335,0.7708333333333334,0.6016260162601627,0.78125,0.8893229166666666,1660.0
0.28,37,38,11,138,0.49333333333333335,0.7708333333333334,0.6016260162601627,0.78125,0.8893229166666666,1660.0
0.28200000000000003,37,37,11,139,0.5,0.7708333333333334,0.6065573770491803,0.7857142857142857,0.8893229166666666,1665.0
0.28400000000000003,37,36,11,140,0.5068493150684932,0.7708333333333334,0.6115702479338843,0.7901785714285714,0.8893229166666666,1670.0
0.28600000000000003,37,36,11,140,0.5068493150684932,0.7708333333333334,0.6115702479338843,0.7901785714285714,0.8893229166666666,1670.0
0.28800000000000003,37,36,11,140,0.5068493150684932,0.7708333333333334,0.6115702479338843,0.7901785714285714,0.8893229166666666,1670.0
0.29,37,36,11,140,0.5068493150684932,0.7708333333333334,0.6115702479338843,0.7901785714285714,0.8893229166666666,1670.0
0.292,37,34,11,142,0.5211267605633803,0.7708333333333334,0.6218487394957983,0.7991071428571429,0.8893229166666666,1680.0
0.294,37,33,11,143,0.5285714285714286,0.7708333333333334,0.6271186440677966,0.8035714285714286,0.8893229166666666,1685.0
0.296,37,33,11,143,0.5285714285714286,0.7708333333333334,0.6271186440677966,0.8035714285714286,0.8893229166666666,1685.0
0.298,37,33,11,143,0.5285714285714286,0.7708333333333334,0.6271186440677966,0.8035714285714286,0.8893229166666666,1685.0
0.3,37,31,11,145,0.5441176470588235,0.7708333333333334,0.6379310344827587,0.8125,0.8893229166666666,1695.0
0.302,37,30,11,146,0.5522388059701493,0.7708333333333334,0.6434782608695652,0.8169642857142857,0.8893229166666666,1700.0
0.304,37,30,11,146,0.5522388059701493,0.7708333333333334,0.6434782608695652,0.8169642857142857,0.8893229166666666,1700.0
0.306,37,29,11,147,0.5606060606060606,0.7708333333333334,0.6491228070175439,0.8214285714285714,0.8893229166666666,1705.0
0.308,37,29,11,147,0.5606060606060606,0.7708333333333334,0.6491228070175439,0.8214285714285714,0.8893229166666666,1705.0
0.31,37,29,11,147,0.5606060606060606,0.7708333333333334,0.6491228070175439,0.8214285714285714,0.8893229166666666,1705.0
0.312,37,28,11,148,0.5692307692307692,0.7708333333333334,0.6548672566371682,0.8258928571428571,0.8893229166666666,1710.0
0.314,37,28,11,148,0.5692307692307692,0.7708333333333334,0.6548672566371682,0.8258928571428571,0.8893229166666666,1710.0
0.316,36,28,12,148,0.5625,0.75,0.6428571428571429,0.8214285714285714,0.8893229166666666,1660.0
0.318,34,24,14,152,0.5862068965517241,0.7083333333333334,0.6415094339622641,0.8303571428571429,0.8893229166666666,1580.0
0.32,34,24,14,152,0.5862068965517241,0.7083333333333334,0.6415094339622641,0.8303571428571429,0.8893229166666666,1580.0
0.322,34,24,14,152,0.5862068965517241,0.7083333333333334,0.6415094339622641,0.8303571428571429,0.8893229166666666,1580.0
0.324,34,24,14,152,0.5862068965517241,0.7083333333333334,0.6415094339622641,0.8303571428571429,0.8893229166666666,1580.0
0.326,33,23,15,153,0.5892857142857143,0.6875,0.6346153846153846,0.8303571428571429,0.8893229166666666,1535.0
0.328,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.33,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.332,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.334,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.336,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.338,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.34,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.342,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.34400000000000003,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.34600000000000003,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
